BRD_NUM,BRD_Ref,BRD_Type,Packet_Type,SW_Pos,StreamingIP,CH,Mantid_DetectorID_Start,Mantid_Detector_ID_Lenght,Comment
0,LVDS0-S0,PC3634M1S,DIM_OUT,0,192.168.2.100,0,5,1,"LVDS Card 0, DIM 0"
0,LVDS0-S1,PC3634M1S,DIM_OUT,0,192.168.2.101,0,38,1,"LVDS Card 0, DIM 1"
0,LVDS0-S2,PC3634M1S,DIM_OUT,0,192.168.2.102,0,70,1,"LVDS Card 0, DIM 2"
0,LVDS0-S3,PC3634M1S,DIM_OUT,0,192.168.2.103,0,102,1,"LVDS Card 0, DIM 3"
1,LVDS1-S0,PC3634M1S,DIM_OUT,1,192.168.2.104,0,134,1,"LVDS Card 1, DIM 0"
1,LVDS1-S2,PC3634M1S,DIM_OUT,1,192.168.2.106,0,166,1,"LVDS Card 1, DIM 2"
1,LVDS1-S1,PC3634M1S,DIM_OUT,1,192.168.2.105,0,198,1,"LVDS Card 1, DIM 1"
1,LVDS1-S3,PC3634M1S,DIM_OUT,1,192.168.2.107,0,230,1,"LVDS Card 1, DIM 3"
2,LVDS2-S0,PC3634M1S,DIM_OUT,2,192.168.2.108,0,262,1,"LVDS Card 2, DIM 0"
2,LVDS2-S1,PC3634M1S,DIM_OUT,2,192.168.2.109,0,294,1,"LVDS Card 2, DIM 1"
2,LVDS2-S2,PC3634M1S,DIM_OUT,2,192.168.2.110,0,326,1,"LVDS Card 2, DIM 2"
2,LVDS2-S3,PC3634M1S,DIM_OUT,2,192.168.2.111,0,358,1,"LVDS Card 2, DIM 3"
3,LVDS3-S0,PC3634M1S,DIM_OUT,3,192.168.2.112,0,390,1,"LVDS Card 3, DIM 0"
3,LVDS3-S1,PC3634M1S,DIM_OUT,3,192.168.2.113,0,422,1,"LVDS Card 3, DIM 1"
3,LVDS3-S2,PC3634M1S,DIM_OUT,3,192.168.2.114,0,454,1,"LVDS Card 3, DIM 2"
3,LVDS3-S3,PC3634M1S,DIM_OUT,3,192.168.2.115,0,486,1,"LVDS Card 3, DIM 3"
4,LVDS4-S0,PC3634M1S,DIM_OUT,4,192.168.2.116,0,518,1,"LVDS Card 4, DIM 0"
4,LVDS4-S1,PC3634M1S,DIM_OUT,4,192.168.2.117,0,550,1,"LVDS Card 4, DIM 1"
4,LVDS4-S2,PC3634M1S,DIM_OUT,4,192.168.2.118,0,582,1,"LVDS Card 4, DIM 2"
4,LVDS4-S3,PC3634M1S,DIM_OUT,4,192.168.2.119,0,614,1,"LVDS Card 4, DIM 3"
